,Unnamed: 0,word,count,Translation,pos
0,0,येथे,295,Here,ADV
1,1,आज,248,Today,NOUN
2,2,आता,242,Now,ADV
3,3,येथील,215,Here,ADV
4,4,जेथे,113,Where,ADV
5,5,पुढे,98,Forward,ADV
6,6,दूर,87,Away,ADV
7,7,सध्या,84,Right now,ADV
8,8,जवळ,81,Near,ADP
9,9,सुमारे,69,Around,ADP
10,10,तेथे,69,There,ADV
11,11,नंतर,65,Later,ADV
12,12,दरम्यान,64,Between,ADP
13,13,काल,63,Yesterday,NOUN
14,14,बाहेर,60,Out,ADP
15,15,उद्या,55,Tomorrow,NOUN
16,16,आधी,52,Before,ADP
17,17,आजही,52,Even today,NOUN
18,18,नेहमी,49,Always,NOUN
19,19,खाली,49,Under,ADP
20,20,मागे,42,Behind,ADP
21,21,पुढील,42,Further,ADV
22,22,समोर,40,In front,NOUN
23,23,आत,39,Inside,ADP
24,24,एकदा,34,Once,ADV
25,25,पुन्हा,34,Again,NOUN
26,26,मग,34,Then,ADV
27,27,येथून,30,From here,ADV
28,28,दरवर्षी,30,Annually,ADV
29,29,वर,28,On,ADP
30,30,वाजता,26,At,ADP
31,31,मध्ये,26,In,ADP
32,32,सकाळी,25,In the morning,ADV
33,33,दररोज,25,Everyday,ADV
34,34,अंतरावर,24,At a distance,NOUN
35,35,सतत,21,Constant,ADV
36,36,शेवटी,20,In the end,NOUN
37,37,लवकरच,19,Soon,ADV
38,38,पूर्वी,19,In the past,NOUN
39,39,जवळजवळ,18,Almost,ADV
40,40,रोज,18,Everyday,ADV
41,41,जवळच,18,Closely,ADV
42,42,कधीही,17,Ever,ADV
43,43,लगेच,17,Immediate,NOUN
44,44,जिथे,17,Where,ADV
45,45,कधीकधी,17,Sometimes,ADV
46,46,मधोमध,16,Middle,NOUN
47,47,अखेर,16,Eventually,ADV
48,48,आतापर्यंत,16,So far,NOUN
49,49,अद्याप,16,Yet,ADV
50,50,संध्याकाळी,16,Evening,NOUN
51,51,मागील,16,Previous,ADV
52,52,आजूबाजूला,15,Around,ADP
53,53,अजूनही,15,Still,ADV
54,54,लांब,15,Long,ADV
55,55,येथेच,13,Here,ADV
56,56,यंदा,13,This year,NOUN
57,57,आजसुद्धा,13,Even today,NOUN
58,58,लगेचच,13,Immediately,ADV
59,59,जवळून,13,Closely,ADV
60,60,पूर्वेला,12,The eastward,NOUN
61,61,वरच्या,12,Upper,ADV
62,62,पश्चिमेला,11,West,NOUN
63,63,आधीच,11,Already,ADV
64,64,दक्षिणेला,11,South,NOUN
65,65,यावेळी,10,At this time,NOUN
66,66,रात्री,10,Night,NOUN
67,67,तेथील,9,There,ADV
68,68,पुढच्या,9,Next,ADP
69,69,अजून,8,Yet,ADV
70,70,जवळपास,8,Around,ADP
71,71,एकत्र,8,Together,ADV
72,72,कधी,8,Sometimes,ADV
73,73,आधीच्या,8,Earlier,ADV
74,74,जवळजवळचे,7,Unacceptable,ADV
75,75,उद्यापर्यंत,7,Till now,NOUN
76,76,वारंवार,7,Frequently,ADV
77,77,आजूबाजूच्या,7,Around,ADP
78,78,खोलवर,7,Deeply,NOUN
79,79,दुपारी,6,Afternoon,NOUN
80,80,उंचीवर,6,At a height,NOUN
81,81,उत्तरेला,6,North,NOUN
82,82,कधीच,6,Never,ADV
83,83,एकेकाळी,6,Once upon a time,NOUN
84,84,रोजी,6,On,ADP
85,85,उशिरा,6,Late,ADV
86,86,अखेरपर्यंत,6,By the end,ADV
87,87,त्यानंतर,6,Subsequently,ADV
88,88,खोल,6,Deeper,NOUN
89,89,एकीकडे,6,On the one hand,NOUN
90,90,तोपर्यंत,6,Until then,NOUN
91,91,प्रथम,5,First,ADV
92,92,सध्याची,5,Exemplary,ADV
93,93,वरील,5,Above,ADP
94,94,दक्षिण,5,South,NOUN
95,95,खालील,5,Following,ADV
96,96,तिकडे,5,There,ADV
97,97,त्यावेळी,5,At that time,NOUN
98,98,दुसरीकडे,5,On the other hand,NOUN
99,99,पलिकडे,5,Bey,NOUN
100,100,जवळचे,5,Close,ADV
101,101,बाहेरच्या,5,External,ADV
102,102,तिथे,5,There,ADV
103,103,सध्याच्या,5,Existing,ADV
104,104,कधीकाळी,5,Sometimes,ADV
105,105,अखेरीस,5,In the end,NOUN
106,106,शेवटपर्यंत,5,To the end,NOUN
107,107,खालच्या,5,Lower,ADV
108,108,तेथेच,5,There,ADV
109,109,तेव्हा,5,When,ADV
110,110,दिवसेंदिवस,5,Day by day,NOUN
111,111,दिवसभर,5,Throughout the day,NOUN
112,112,आजच्या,5,Today,NOUN
113,113,अलीकडे,4,Recently,ADV
114,114,बाजूला,4,Side,NOUN
115,115,जवळच्या,4,Close,ADV
116,116,अलिकडे,4,Recently,ADV
117,117,अलिकडेच,4,Recently,ADV
118,118,अलीकडील,4,Recent,NOUN
119,119,बाहेरील,4,Outer,NOUN
120,120,मध्यंतरी,4,Intermediate,NOUN
121,121,सर्वप्रथम,4,First,ADV
122,122,मध्यभागी,4,In the middle,NOUN
123,123,आतमध्ये,4,Inward,NOUN
124,124,आतच,4,Inside,ADP
125,125,वेळोवेळी,4,Timely,ADV
126,126,तेथून,4,From there,ADV
127,127,तिथून,4,From there,ADV
128,128,उद्याच,4,Tomorrow,NOUN
129,129,सुरवातीला,4,Initially,ADV
130,130,नेहमीच,4,Always,NOUN
131,131,दूरवर,4,Far,NOUN
132,132,तत्पूर्वी,4,Before,ADP
133,133,आजपासून,4,From today,NOUN
134,134,मध्य,4,Central,ADV
135,135,सुमारास,4,Around,ADP
136,136,जवळील,3,Neat,NOUN
137,137,दक्षिणेत,3,South,NOUN
138,138,दरम्यानच्या,3,Between,ADP
139,139,पलीकडे,3,Beyond,ADP
140,140,त्याकाळी,3,At that time,NOUN
141,141,सायंकाळी,3,In the evening,ADV
142,142,नंतरच्या,3,Subsequent,ADV
143,143,परवा,3,Ton,NOUN
144,144,ठिकठिकाणी,3,Whereabouts,NOUN
145,145,पलीकडून,3,Beyond,ADP
146,146,अगोदर,3,Precedence,NOUN
147,147,परत,3,Back,ADV
148,148,तत्काळ,3,Immediate,NOUN
149,149,सर्वत्र,3,Everywhere,ADV
150,150,लवकर,3,Early,ADV
151,151,शेवटच्या,3,Last,ADV
152,152,कडेला,3,To the side,NOUN
153,153,मध्यापासून,3,Centrally,ADV
154,154,मध्यापर्यंत,3,In the middle,NOUN
155,155,उद्याच्या,3,Of tomorrow,NOUN
156,156,उद्यापासून,3,From tomorrow,NOUN
157,157,मध्यात,3,In the middle,NOUN
158,158,दक्षिणेमध्ये,3,In the south,NOUN
159,159,यंदाही,3,Too,NOUN
160,160,मधून,3,Throughly,ADV
161,161,मधील,3,Between,ADP
162,162,आतल्या,3,Inner,NOUN
163,163,आजपर्यंत,3,To this day,NOUN
164,164,वरून,3,From,ADP
165,165,आधीची,3,Earlier,ADV
166,166,लगतच्या,3,Facial,ADV
167,167,कडे,3,To,ADP
168,168,मागून,3,By,ADP
169,169,आजचा,3,Today's,NOUN
170,170,पुढं,3,Ahead,NOUN
171,171,कालच,3,Yesterday,NOUN
172,172,पुढची,3,Next,ADP
173,173,कालच्या,3,Yesterday,NOUN
174,174,समोरच,3,In front,NOUN
175,175,आदल्या,3,Pronounced,ADV
176,176,पूर्वेकडील,3,East,NOUN
177,177,आजदेखील,3,Even today,NOUN
